Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,Purchase_Frequency_Level,Cart_Completion_Frequency_Level,Customer_Segmentation,Cluster
2023/06/09 10:23:05 AM GMT+5:30,54,Male,Few times a month,Home and Kitchen;others,Few times a month,Keyword,First page,1,Maybe,Always,High shipping costs,Sometimes,Yes,Moderately,No,2,Sometimes,4,4,.,.,738929,3,5,Occasional Shopper,0
2023/06/11 11:20:18 PM GMT+5:30,40,Others,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Few times a month,Filter,Multiple pages,4,Yes,Always,High shipping costs,Sometimes,No,Heavily,No,4,Yes,3,2,Quick delivery,Shipping speed and reliability,608249,1,5,Occasional Shopper,1
2023/06/10 2:41:51 PM GMT+5:30,52,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a week,others,First page,2,No,Always,Found a better price elsewhere,Always,Yes,Heavily,Sometimes,5,Sometimes,2,5,Wide product selection,better app interface and lower shipping charges,749594,5,5,Frequent Shopper,0
2023/06/04 10:37:00 PM GMT+5:30,13,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a week,others,First page,5,No,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,No,1,No,3,2,Customer service,.,613645,4,2,Occasional Shopper,3
2023/06/08 8:26:58 PM GMT+5:30,20,Female,Few times a month,Clothing and Fashion;Home and Kitchen;others,Few times a month,Unknown,Multiple pages,1,Yes,Often,High shipping costs,Always,No,Occasionally,No,5,Sometimes,5,3,Customer service,UI,742772,3,4,Occasional Shopper,0
2023/06/07 10:10:26 PM GMT+5:30,15,Others,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Few times a week,others,Multiple pages,3,Yes,Never,others,Rarely,Yes,Rarely,Yes,2,Sometimes,1,5,Quick delivery,No problems with Amazon,263120,2,1,Occasional Shopper,2
2023/06/08 3:24:37 AM GMT+5:30,17,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care,Few times a week,Keyword,Multiple pages,5,No,Always,Changed my mind or no longer need the item,Never,No,Never,No,4,Sometimes,1,2,Wide product selection,Irrelevant product suggestions,772342,1,5,Occasional Shopper,1
2023/06/07 6:20:53 PM GMT+5:30,27,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Multiple times a day,Unknown,Multiple pages,5,Maybe,Never,others,Always,Yes,Heavily,Yes,1,No,3,1,Customer service,User interface of app,217285,4,1,At Risk,3
2023/06/07 2:19:05 PM GMT+5:30,10,Prefer not to say,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Few times a week,others,Multiple pages,4,No,Always,High shipping costs,Always,Yes,Never,Yes,5,No,4,3,.,Nothing,429736,2,5,Occasional Shopper,2
2023/06/08 10:40:33 PM GMT+5:30,57,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care,Multiple times a day,categories,Multiple pages,5,Yes,Never,Changed my mind or no longer need the item,Rarely,Yes,Moderately,Yes,4,Sometimes,4,3,Wide product selection,Quality of product is very poor according to the big offers,703143,5,1,Occasional Shopper,3
2023/06/05 1:35:41 PM GMT+5:30,51,Others,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Multiple times a day,Filter,Multiple pages,1,Yes,Often,High shipping costs,Rarely,No,Moderately,No,4,Yes,5,5,Wide product selection,Scrolling option would be much better than going to next page,226150,1,4,Occasional Shopper,2
2023/06/06 2:07:12 PM GMT+5:30,30,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion;others,Multiple times a day,Unknown,First page,2,No,Often,others,Always,Yes,Moderately,Yes,2,Yes,4,5,User-friendly website/app interface,Customer service responsiveness,686637,4,4,Frequent Shopper,0
2023/06/08 3:28:23 AM GMT+5:30,54,Prefer not to say,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Rarely,others,Multiple pages,4,Maybe,Often,High shipping costs,Rarely,No,Occasionally,Sometimes,5,Yes,4,5,User-friendly website/app interface,Nil,724960,2,4,Occasional Shopper,2
2023/06/05 4:26:25 AM GMT+5:30,62,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Rarely,Keyword,Multiple pages,1,No,Never,High shipping costs,Never,No,Occasionally,Sometimes,5,Sometimes,4,3,User-friendly website/app interface,Customer service responsiveness,415270,1,1,Occasional Shopper,2
2023/06/12 3:52:33 PM GMT+5:30,39,Male,Once a week,Beauty and Personal Care;Clothing and Fashion,Rarely,Keyword,First page,3,Yes,Rarely,Found a better price elsewhere,Always,Yes,Occasionally,Sometimes,3,No,3,4,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues,133139,4,2,Frequent Shopper,0
2023/06/04 9:22:58 PM GMT+5:30,29,Male,Less than once a month,Beauty and Personal Care,Few times a month,Unknown,Multiple pages,3,No,Always,Found a better price elsewhere,Never,Yes,Rarely,Yes,1,No,5,4,All the above,User interface of app,802518,1,5,Occasional Shopper,2
2023/06/12 2:41:06 PM GMT+5:30,16,Male,Once a month,Clothing and Fashion;others,Few times a week,others,First page,3,No,Always,High shipping costs,Always,No,Rarely,Sometimes,3,No,4,3,Product recommendations,better app interface and lower shipping charges,659706,2,5,Occasional Shopper,2
2023/06/09 2:36:46 PM GMT+5:30,25,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care,Few times a week,Filter,Multiple pages,1,Maybe,Never,others,Sometimes,Yes,Moderately,Sometimes,4,Yes,1,2,Wide product selection,I don't have any problem with Amazon,979289,1,1,Occasional Shopper,1
2023/06/08 10:24:19 PM GMT+5:30,48,Male,Few times a month,Beauty and Personal Care;others,Rarely,Keyword,Multiple pages,1,No,Always,others,Rarely,Yes,Rarely,Yes,4,Sometimes,2,1,Wide product selection,No problems with Amazon,922302,3,5,Occasional Shopper,1
2023/06/08 5:58:03 PM GMT+5:30,19,Prefer not to say,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Few times a month,categories,First page,4,No,Often,High shipping costs,Never,Yes,Rarely,Yes,2,Yes,4,2,All the above,Quality of product is very poor according to the big offers,956573,5,4,Occasional Shopper,3
2023/06/04 10:13:28 PM GMT+5:30,9,Others,Once a month,Clothing and Fashion;Home and Kitchen,Rarely,Keyword,First page,2,Yes,Never,Changed my mind or no longer need the item,Sometimes,Yes,Heavily,Sometimes,2,No,1,1,All the above,Quality of product is very poor according to the big offers,588218,2,1,At Risk,1
2023/06/07 6:18:37 PM GMT+5:30,62,Female,Less than once a month,Beauty and Personal Care,Rarely,Unknown,Multiple pages,2,No,Often,Found a better price elsewhere,Never,Yes,Moderately,No,5,No,5,5,User-friendly website/app interface,No problems with Amazon,198427,1,4,Occasional Shopper,2
2023/06/08 7:50:55 PM GMT+5:30,66,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Rarely,Unknown,First page,3,Yes,Rarely,others,Rarely,Yes,Rarely,Yes,3,Sometimes,2,5,Wide product selection,Scrolling option would be much better than going to next page,568699,1,2,Occasional Shopper,2
2023/06/11 11:16:18 PM GMT+5:30,32,Others,Less than once a month,Beauty and Personal Care;Clothing and Fashion;others,Rarely,Unknown,First page,5,Maybe,Often,others,Rarely,Yes,Heavily,Sometimes,2,Yes,1,5,Competitive prices,Scrolling option would be much better than going to next page,650309,1,4,Occasional Shopper,2
2023/06/05 12:02:56 AM GMT+5:30,13,Male,Once a month,Clothing and Fashion;Home and Kitchen;others,Rarely,categories,First page,5,No,Rarely,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,1,Sometimes,3,4,Customer service,I don't have any problem with Amazon,513993,2,2,Occasional Shopper,2
2023/06/08 9:54:40 AM GMT+5:30,34,Others,Once a week,others,Few times a week,Filter,First page,2,No,Rarely,Found a better price elsewhere,Sometimes,No,Occasionally,Sometimes,4,Yes,3,2,Customer service,No problems with Amazon,583356,4,2,Occasional Shopper,3
2023/06/09 2:44:09 PM GMT+5:30,37,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a month,Keyword,First page,5,Maybe,Never,Changed my mind or no longer need the item,Never,No,Rarely,Sometimes,5,Sometimes,1,1,Customer service,Irrelevant product suggestions,902965,5,1,At Risk,3
2023/06/07 10:42:24 PM GMT+5:30,8,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Few times a month,categories,Multiple pages,5,Maybe,Always,Found a better price elsewhere,Often,Yes,Never,Yes,2,Yes,2,4,Wide product selection,Product quality and accuracy,106395,3,5,Occasional Shopper,0
2023/06/09 3:26:38 PM GMT+5:30,61,Others,Less than once a month,Beauty and Personal Care;Home and Kitchen,Rarely,others,First page,2,No,Never,others,Sometimes,Yes,Never,Sometimes,1,No,2,3,User-friendly website/app interface,Nil,484801,1,1,Occasional Shopper,2
2023/06/06 7:02:21 PM GMT+5:30,41,Female,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Few times a week,others,Multiple pages,3,Yes,Always,Found a better price elsewhere,Never,No,Moderately,No,4,Sometimes,5,3,Customer service,better app interface and lower shipping charges,103862,2,5,Occasional Shopper,2
2023/06/04 8:20:42 PM GMT+5:30,17,Prefer not to say,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a week,Unknown,Multiple pages,2,No,Often,others,Never,No,Occasionally,No,1,No,3,2,User-friendly website/app interface,User interface,497649,2,4,Occasional Shopper,1
2023/06/09 9:33:35 AM GMT+5:30,29,Male,Once a month,Beauty and Personal Care;Home and Kitchen;others,Few times a week,categories,Multiple pages,1,Yes,Often,High shipping costs,Never,No,Moderately,Sometimes,4,Yes,3,1,Quick delivery,Shipping speed and reliability,383484,2,4,Occasional Shopper,1
2023/06/09 4:32:00 PM GMT+5:30,47,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Few times a week,Keyword,First page,4,Maybe,Rarely,High shipping costs,Always,Yes,Moderately,No,4,No,3,3,.,I don't have any problem with Amazon,496077,3,2,Occasional Shopper,0
2023/06/04 7:13:12 PM GMT+5:30,58,Others,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a month,Filter,First page,5,No,Sometimes,High shipping costs,Sometimes,No,Moderately,Yes,3,No,2,2,User-friendly website/app interface,No problems with Amazon,453417,3,3,Occasional Shopper,1
2023/06/04 6:31:41 PM GMT+5:30,24,Male,Once a week,Clothing and Fashion;others,Multiple times a day,Unknown,Multiple pages,3,No,Often,Changed my mind or no longer need the item,Often,No,Occasionally,Sometimes,5,No,4,5,User-friendly website/app interface,Shipping speed and reliability,506728,4,4,Frequent Shopper,0
2023/06/06 6:48:26 PM GMT+5:30,8,Prefer not to say,Less than once a month,Clothing and Fashion;others,Multiple times a day,Filter,First page,4,Maybe,Rarely,High shipping costs,Rarely,Yes,Rarely,Sometimes,1,Sometimes,1,3,All the above,Nil,443585,1,2,Occasional Shopper,2
2023/06/11 10:44:01 PM GMT+5:30,59,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Rarely,Keyword,First page,2,Maybe,Often,High shipping costs,Sometimes,Yes,Never,No,4,No,5,1,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues,293476,3,4,Occasional Shopper,1
2023/06/07 12:30:22 PM GMT+5:30,62,Female,Once a week,Clothing and Fashion;Home and Kitchen,Multiple times a day,Unknown,First page,1,Yes,Often,others,Sometimes,Yes,Never,Yes,3,Sometimes,1,5,Quick delivery,Nil,782080,4,4,Frequent Shopper,0
2023/06/11 10:58:52 PM GMT+5:30,33,Male,Once a week,Groceries and Gourmet Food,Multiple times a day,Keyword,Multiple pages,1,No,Often,Found a better price elsewhere,Rarely,Yes,Rarely,No,3,No,2,3,.,I have no problem with Amazon yet. But others tell me about the refund issues,688840,4,4,Occasional Shopper,0
2023/06/08 9:39:30 PM GMT+5:30,14,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Few times a week,Unknown,First page,3,No,Always,Changed my mind or no longer need the item,Always,No,Occasionally,No,2,No,1,4,All the above,Quality of product is very poor according to the big offers,480923,1,5,Occasional Shopper,2
2023/06/10 2:40:34 PM GMT+5:30,35,Others,Few times a month,Clothing and Fashion,Few times a month,Filter,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Never,No,Occasionally,Sometimes,3,No,5,5,Product recommendations,Quality of product is very poor according to the big offers,122342,3,3,Occasional Shopper,0
2023/06/05 2:21:37 PM GMT+5:30,27,Others,Once a month,Clothing and Fashion,Few times a month,categories,First page,5,Yes,Never,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Sometimes,1,No,2,3,Competitive prices,No problems with Amazon,545823,2,1,Occasional Shopper,2
2023/06/09 9:37:15 AM GMT+5:30,60,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Rarely,Unknown,First page,4,No,Sometimes,Found a better price elsewhere,Often,Yes,Never,Sometimes,2,No,4,1,Quick delivery,Scrolling option would be much better than going to next page,996127,2,3,Occasional Shopper,1
2023/06/06 6:44:50 PM GMT+5:30,27,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Always,Yes,Rarely,Sometimes,2,Sometimes,5,2,User-friendly website/app interface,Reducing packaging waste,774794,3,3,Occasional Shopper,1
2023/06/07 10:44:42 PM GMT+5:30,60,Prefer not to say,Once a month,Home and Kitchen,Few times a month,categories,First page,1,No,Rarely,Found a better price elsewhere,Never,No,Never,No,4,Sometimes,2,1,Quick delivery,UI,761409,2,2,Occasional Shopper,1
2023/06/07 12:13:39 PM GMT+5:30,54,Female,Once a month,Clothing and Fashion,Few times a week,Keyword,Multiple pages,2,Maybe,Always,others,Never,No,Moderately,No,5,Sometimes,2,4,Wide product selection,Add more familiar brands to the list,166620,2,5,Occasional Shopper,2
2023/06/12 4:02:53 PM GMT+5:30,60,Male,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Few times a month,others,First page,1,No,Always,High shipping costs,Always,Yes,Never,Sometimes,3,Sometimes,4,3,Quick delivery,Quality of product is very poor according to the big offers,543596,3,5,Occasional Shopper,0
2023/06/07 2:23:02 PM GMT+5:30,40,Female,Once a month,Clothing and Fashion;Home and Kitchen;others,Few times a month,Keyword,Multiple pages,3,Maybe,Never,Found a better price elsewhere,Often,Yes,Never,Yes,5,Yes,5,1,Competitive prices,I don't have any problem with Amazon,407279,2,1,At Risk,1
2023/06/09 3:07:36 PM GMT+5:30,48,Prefer not to say,Once a month,Clothing and Fashion,Few times a week,Unknown,First page,5,No,Sometimes,High shipping costs,Rarely,Yes,Heavily,No,4,Yes,5,5,Product recommendations,Shipping speed and reliability,959377,2,3,Occasional Shopper,2
2023/06/07 9:22:24 PM GMT+5:30,49,Prefer not to say,Few times a month,Beauty and Personal Care;Home and Kitchen,Rarely,Unknown,Multiple pages,2,Yes,Never,others,Rarely,No,Occasionally,Sometimes,2,No,2,5,Product recommendations,Nothing,985211,3,1,Occasional Shopper,0
2023/06/05 8:06:04 PM GMT+5:30,39,Female,Multiple times a week,Beauty and Personal Care;Home and Kitchen;others,Rarely,Keyword,Multiple pages,5,Yes,Always,Found a better price elsewhere,Sometimes,No,Rarely,No,3,No,4,4,Customer service,Shipping speed and reliability,166134,5,5,Frequent Shopper,0
2023/06/04 8:02:28 PM GMT+5:30,53,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,Rarely,Keyword,Multiple pages,4,No,Always,High shipping costs,Rarely,No,Never,Yes,4,No,2,4,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues,809793,4,5,Frequent Shopper,0
2023/06/08 5:43:45 PM GMT+5:30,43,Female,Multiple times a week,others,Few times a week,Unknown,Multiple pages,5,Yes,Rarely,High shipping costs,Never,Yes,Heavily,No,4,Yes,1,1,Customer service,Irrelevant product suggestions,923406,5,2,Occasional Shopper,3
2023/06/05 9:20:17 AM GMT+5:30,20,Others,Multiple times a week,Beauty and Personal Care;others,Few times a month,categories,First page,3,Maybe,Often,High shipping costs,Sometimes,Yes,Rarely,Sometimes,3,No,5,3,Quick delivery,Quality of product is very poor according to the big offers,599457,5,4,Occasional Shopper,3
2023/06/08 6:00:20 PM GMT+5:30,61,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Few times a month,Keyword,Multiple pages,3,No,Always,High shipping costs,Rarely,No,Moderately,Sometimes,3,No,4,1,Customer service,Nothing,608542,3,5,Occasional Shopper,1
2023/06/04 2:30:44 PM GMT+5:30,50,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,categories,First page,3,No,Often,others,Always,Yes,Occasionally,Sometimes,2,Sometimes,3,4,Product recommendations,Nothing,133581,5,4,Frequent Shopper,0
2023/06/11 11:22:55 PM GMT+5:30,14,Male,Once a week,Groceries and Gourmet Food,Multiple times a day,Filter,First page,2,Yes,Sometimes,others,Rarely,Yes,Occasionally,Sometimes,4,No,3,3,.,I don't have any problem with Amazon,535991,4,3,Occasional Shopper,0
2023/06/11 10:44:46 PM GMT+5:30,60,Female,Once a week,Groceries and Gourmet Food;Home and Kitchen,Few times a week,Unknown,First page,4,No,Never,High shipping costs,Often,Yes,Occasionally,No,3,Yes,2,5,.,Scrolling option would be much better than going to next page,951696,4,1,Frequent Shopper,0
2023/06/06 4:25:49 PM GMT+5:30,60,Others,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Multiple times a day,Keyword,First page,4,Maybe,Often,Changed my mind or no longer need the item,Often,Yes,Moderately,No,1,No,5,1,Product recommendations,Customer service responsiveness,647416,2,4,Occasional Shopper,1
2023/06/04 9:40:54 PM GMT+5:30,64,Female,Multiple times a week,Home and Kitchen;others,Multiple times a day,Keyword,Multiple pages,4,Yes,Often,High shipping costs,Often,No,Occasionally,Yes,5,Sometimes,2,1,All the above,I have no problem with Amazon yet. But others tell me about the refund issues,762146,5,4,Occasional Shopper,3
2023/06/12 3:40:25 PM GMT+5:30,44,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Rarely,Filter,First page,5,Yes,Sometimes,High shipping costs,Sometimes,No,Never,No,1,Sometimes,5,2,Quick delivery,Irrelevant product suggestions,278543,5,3,Occasional Shopper,3
2023/06/08 5:55:54 PM GMT+5:30,66,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;others,Multiple times a day,Unknown,Multiple pages,4,No,Never,Changed my mind or no longer need the item,Often,No,Rarely,No,1,Yes,2,2,Wide product selection,Quality of product is very poor according to the big offers,676990,1,1,Occasional Shopper,1
2023/06/04 8:46:02 PM GMT+5:30,48,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a week,Filter,First page,1,No,Always,Found a better price elsewhere,Never,No,Moderately,No,3,Yes,1,3,Wide product selection,Scrolling option would be much better than going to next page,683010,5,5,Occasional Shopper,3
